state,state_fips,year,employment_rate,edu_bachelors_share,edu_some_college_share,edu_hs_grad_share,edu_less_than_hs_share
Kentucky,21,2012,0.1861747017384893,,,,
Louisiana,22,2012,0.2396199753465019,,,,
Maine,23,2012,0.23034493474207582,,,,
Maryland,24,2012,0.2565091921925587,,,,
Massachusetts,25,2012,0.2140159865328348,,,,
Michigan,26,2012,0.18815279647926783,,,,
Minnesota,27,2012,0.26728195680528233,,,,
Mississippi,28,2012,0.1890152432723143,,,,
Missouri,29,2012,0.21808680272765738,,,,
Montana,30,2012,0.2565962402262519,,,,
Nebraska,31,2012,0.2847760960450714,,,,
Nevada,32,2012,0.24019443676740745,,,,
New Hampshire,33,2012,0.2559221538199665,,,,
New Jersey,34,2012,0.2150588353905316,,,,
New Mexico,35,2012,0.22622674508808305,,,,
New York,36,2012,0.1938317222665392,,,,
North Carolina,37,2012,0.20177297715072895,,,,
North Dakota,38,2012,0.33082217124250723,,,,
Ohio,39,2012,0.2210584159231604,,,,
Oklahoma,40,2012,0.2430017137119605,,,,
Oregon,41,2012,0.22120805741922941,,,,
Pennsylvania,42,2012,0.21501447261483872,,,,
Rhode Island,44,2012,0.1986376620522962,,,,
South Carolina,45,2012,0.18481135445307048,,,,
South Dakota,46,2012,0.34575027940841374,,,,
Tennessee,47,2012,0.19417474653194136,,,,
Texas,48,2012,0.251828823789477,,,,
Utah,49,2012,0.2824084494481274,,,,
Vermont,50,2012,0.247992875029042,,,,
Virginia,51,2012,0.23474850465764416,,,,
Washington,53,2012,0.23539474373069472,,,,
West Virginia,54,2012,0.1674314234232037,,,,
Wisconsin,55,2012,0.24407784127708554,,,,
Puerto Rico,72,2012,0.1419573451397578,,,,
Alabama,1,2013,0.1875319088390623,0.125,0.264,0.345,0.267
Alaska,2,2013,0.35558959898050485,0.162,0.342,0.305,0.191
Arizona,4,2013,0.2096717008689026,0.17200000000000001,0.33399999999999996,0.29300000000000004,0.2
Arkansas,5,2013,0.19692930575608397,0.10099999999999998,0.256,0.377,0.265
California,6,2013,0.20417559932425042,0.177,0.301,0.25,0.27199999999999996
Colorado,8,2013,0.28666133272373984,0.225,0.33299999999999996,0.285,0.15700000000000003
Connecticut,9,2013,0.24855786742262742,0.191,0.23800000000000004,0.355,0.21600000000000003
Delaware,10,2013,0.24514220019223884,0.14400000000000002,0.255,0.38599999999999995,0.21500000000000002
Florida,12,2013,0.18215690732531312,0.173,0.271,0.34,0.21600000000000003
Georgia,13,2013,0.21870927676870047,0.141,0.256,0.348,0.256
Hawaii,15,2013,0.21994609164420484,0.177,0.275,0.369,0.18000000000000002
Idaho,16,2013,0.23125436183751386,0.159,0.353,0.305,0.184
Illinois,17,2013,0.23159204149603158,0.159,0.266,0.355,0.22100000000000003
Indiana,18,2013,0.23309342127434224,0.11300000000000002,0.252,0.402,0.23299999999999998
Iowa,19,2013,0.28235237801758567,0.137,0.27899999999999997,0.419,0.165
Kansas,20,2013,0.2769804945476885,0.16699999999999998,0.315,0.358,0.16
Kentucky,21,2013,0.1935226345706695,0.10099999999999999,0.234,0.37200000000000005,0.29300000000000004
Louisiana,22,2013,0.22123464562882253,0.116,0.22299999999999998,0.364,0.298
Maine,23,2013,0.21953604256417383,0.15,0.251,0.433,0.165
Maryland,24,2013,0.2612657548571743,0.207,0.25,0.329,0.214
Massachusetts,25,2013,0.22811423690518834,0.184,0.23499999999999996,0.348,0.233
Michigan,26,2013,0.20419995569891036,0.127,0.29100000000000004,0.36700000000000005,0.214
Minnesota,27,2013,0.2949268428171651,0.16699999999999998,0.292,0.364,0.177
Mississippi,28,2013,0.18972446654236585,0.10800000000000001,0.254,0.326,0.312
Missouri,29,2013,0.22842873077742545,0.12200000000000001,0.28200000000000003,0.37900000000000006,0.218
Montana,30,2013,0.2664705572566751,0.178,0.316,0.363,0.14300000000000002
Nebraska,31,2013,0.2918459630953249,0.152,0.319,0.37399999999999994,0.156
Nevada,32,2013,0.2587895856840568,0.137,0.35000000000000003,0.315,0.198
New Hampshire,33,2013,0.27382625627006746,0.218,0.28300000000000003,0.348,0.15
New Jersey,34,2013,0.22778811536287213,0.18200000000000002,0.21400000000000002,0.382,0.221
New Mexico,35,2013,0.23382271864088375,0.16699999999999998,0.294,0.301,0.238
New York,36,2013,0.20681979693559135,0.175,0.22799999999999998,0.332,0.265
North Carolina,37,2013,0.20465576258597862,0.135,0.27399999999999997,0.32799999999999996,0.263
North Dakota,38,2013,0.34247591845878134,0.14300000000000002,0.325,0.333,0.198
Ohio,39,2013,0.22572907208379797,0.12,0.25,0.41,0.21999999999999997
Oklahoma,40,2013,0.25055966468981816,0.138,0.287,0.367,0.20800000000000002
Oregon,41,2013,0.2309926631828555,0.17300000000000001,0.357,0.304,0.16500000000000004
Pennsylvania,42,2013,0.22198978669673974,0.129,0.209,0.44299999999999995,0.21899999999999997
